Pair,F1,F2,Std_X,Std_Y,Correlation,Data_Density_X,Data_Density_Y,Sparse_Penalty,Fitness_Score
F2+F4,F2,F4,113.06810285165496,78.90696549843963,0.0024279567540365496,1.0,0.88953,0.055235,82292.59053398177
F4+F10,F4,F10,78.90696549843963,127.42752682848173,0.0002799515662716965,0.88953,0.48307,0.3137,68814.26566007985
F4+F9,F4,F9,78.90696549843963,127.17777614436986,0.002331829771649552,0.88953,0.46443999999999996,0.323015,66388.80862364553
F4+F11,F4,F11,78.90696549843963,120.19672756166517,0.002024443886530424,0.88953,0.33320000000000005,0.38863499999999995,56833.48950883591
F0+F4,F0,F4,75.15920689237551,78.90696549843963,0.001217942040388145,0.96165,0.88953,0.07441,54232.38221132815
F4+F7,F4,F7,78.90696549843963,75.21042847692013,0.003121992540185308,0.88953,0.94877,0.08085,52896.69044503018
F1+F4,F1,F4,74.22643506422575,78.90696549843963,0.00487058507868945,1.0,0.88953,0.055235,52764.770066829624
F4+F8,F4,F8,78.90696549843963,71.6483064983719,0.005347263921666425,0.88953,1.0,0.055235,50701.61664393992
F4+F12,F4,F12,78.90696549843963,69.77980321817891,0.002644595951835082,0.88953,1.0,0.055235,50679.55454903816
F3+F4,F3,F4,67.68969022873078,78.90696549843963,0.004399352737879814,0.95426,0.88953,0.07810500000000001,47165.18282523018
F4+F6,F4,F6,78.90696549843963,71.96261775348044,0.0010383857657585652,0.88953,0.69857,0.20595,44625.56690351809
F4+F5,F4,F5,78.90696549843963,41.38011467068816,0.003740100714223084,0.88953,0.65925,0.22561,24373.623755208835
F2+F10,F2,F10,113.06810285165496,127.42752682848173,0.41713344058682156,1.0,0.48307,0.258465,20660.098669370047
F2+F9,F2,F9,113.06810285165496,127.17777614436986,0.4631501152367589,1.0,0.46443999999999996,0.26778,18696.862821335202
F0+F10,F0,F10,75.15920689237551,127.42752682848173,0.37746720514065024,0.96165,0.48307,0.27764,14489.572916883371
F7+F10,F7,F10,75.21042847692013,127.42752682848173,0.37729934973972673,0.94877,0.48307,0.28408,14375.235542385546
F1+F10,F1,F10,74.22643506422575,127.42752682848173,0.390780206874378,1.0,0.48307,0.258465,14291.126779776116
F8+F10,F8,F10,71.6483064983719,127.42752682848173,0.3788638201792209,1.0,0.48307,0.258465,14138.027184760971
F3+F10,F3,F10,67.68969022873078,127.42752682848173,0.34887368908699545,0.95426,0.48307,0.281335,13809.823424932305
F0+F9,F0,F9,75.15920689237551,127.17777614436986,0.4193238069586511,0.96165,0.46443999999999996,0.286955,13124.178301886588
F7+F9,F7,F9,75.21042847692013,127.17777614436986,0.4189258193886116,0.94877,0.46443999999999996,0.293395,13024.489678065007
F1+F9,F1,F9,74.22643506422575,127.17777614436986,0.43387123574045683,1.0,0.46443999999999996,0.26778,12947.171304403415
F10+F12,F10,F12,127.42752682848173,69.77980321817891,0.4095160973777651,0.48307,1.0,0.258465,12940.967289280337
F8+F9,F8,F9,71.6483064983719,127.17777614436986,0.4201493261478912,1.0,0.46443999999999996,0.26778,12827.16564859301
F6+F10,F6,F10,71.96261775348044,127.42752682848173,0.3235504585496274,0.69857,0.48307,0.40918,12791.46360095411
F3+F9,F3,F9,67.68969022873078,127.17777614436986,0.3863599105819459,0.95426,0.46443999999999996,0.29065,12555.573545243187
F10+F11,F10,F11,127.42752682848173,120.19672756166517,0.41257308436668366,0.48307,0.33320000000000005,0.591865,12195.62159050763
F9+F12,F9,F12,127.17777614436986,69.77980321817891,0.45417256733599215,0.46443999999999996,1.0,0.26778,11725.666301769703
F6+F9,F6,F9,71.96261775348044,127.17777614436986,0.3593326180692366,0.69857,0.46443999999999996,0.418495,11586.288716348201
F9+F11,F9,F11,127.17777614436986,120.19672756166517,0.45821732060790926,0.46443999999999996,0.33320000000000005,0.60118,10921.379332778444
F5+F10,F5,F10,41.38011467068816,127.42752682848173,0.2464422675037787,0.65925,0.48307,0.42884,8693.243740517344
F2+F11,F2,F11,113.06810285165496,120.19672756166517,0.9718241196266507,1.0,0.33320000000000005,0.3334,8452.292786937693
F0+F2,F0,F2,75.15920689237551,113.06810285165496,0.8890278560366274,0.96165,1.0,0.019175,8427.626831185662
F2+F7,F2,F7,113.06810285165496,75.21042847692013,0.884776189515642,1.0,0.94877,0.025615,8414.168762826012
F1+F2,F1,F2,74.22643506422575,113.06810285165496,0.9158576479929338,1.0,1.0,0.0,8261.632139832986
F2+F3,F2,F3,113.06810285165496,67.68969022873078,0.8083110827034221,1.0,0.95426,0.02287,8233.421818047018
F2+F8,F2,F8,113.06810285165496,71.6483064983719,0.892525477109811,1.0,1.0,0.0,8162.1462371877415
F2+F6,F2,F6,113.06810285165496,71.96261775348044,0.7604721011610882,1.0,0.69857,0.150715,8030.890754785234
F5+F9,F5,F9,41.38011467068816,127.17777614436986,0.2742771687697363,0.65925,0.46443999999999996,0.438155,7899.9819884141625
